Month,Ozone_ppb
2010-01-01,16.83765306122449
2010-01-02,17.494717241379306
2010-01-03,16.51526056338028
2010-01-04,13.100992805755398
2010-01-05,12.5128345323741
2010-01-06,9.89640287769784
2010-01-07,9.389248275862073
2010-01-08,11.110583333333333
2010-01-09,10.603682758620694
2010-01-10,12.148339869281047
2010-01-11,12.764393333333338
2010-01-12,17.847278911564626
2010-01-13,23.200585526315788
2010-01-14,19.036304635761603
2010-01-15,13.482000000000005
2010-01-16,17.069921568627446
2010-01-17,24.664020134228192
2010-01-18,28.533857142857137
2010-01-19,27.82725000000001
2010-01-20,30.911121621621607
2010-01-21,31.40959322033898
2010-01-22,25.061357142857148
2010-01-23,21.561000000000003
2010-01-24,18.89297402597403
2010-01-25,17.843246666666666
2010-01-26,14.746239669421485
2010-01-27,16.782222929936303
2010-01-28,16.366096774193547
2010-01-29,16.085183006535953
2010-01-30,20.892402597402594
2010-01-31,19.47633333333334
2010-02-01,17.281222929936302
2010-02-02,18.03293103448276
2010-02-03,19.691217948717963
2010-02-04,24.96397435897436
2010-02-05,24.485232758620683
2010-02-06,27.099582781456967
2010-02-07,23.560883211678824
2010-02-08,19.798182389937104
2010-02-09,22.435948717948726
2010-02-10,18.525155844155844
2010-02-11,18.780820512820515
2010-02-12,19.56260389610389
2010-02-13,20.239356687898077
2010-02-14,21.324329032258067
2010-02-15,21.302683870967744
2010-02-16,19.282453333333333
2010-02-17,19.699340000000007
2010-02-18,26.11633548387097
2010-02-19,27.60529629629629
2010-02-20,28.113228758169946
2010-02-21,28.846144927536233
2010-02-22,25.17946376811593
2010-02-23,21.90545394736842
2010-02-24,21.832181034482762
2010-02-25,19.203915032679745
2010-02-26,24.495493670886077
2010-02-27,28.02545
2010-02-28,23.07283333333333
2010-03-01,22.615850000000005
2010-03-02,27.06713749999999
2010-03-03,31.390025477707013
2010-03-04,28.47572727272728
2010-03-05,26.656797468354426
2010-03-06,25.36475912408759
2010-03-07,29.289955128205122
2010-03-08,32.36034210526318
2010-03-09,30.53858503401361
2010-03-10,28.993892405063306
2010-03-11,26.02840625
2010-03-12,26.93660389610391
2010-03-13,29.98340764331209
2010-03-14,28.29801324503311
2010-03-15,27.47224528301887
2010-03-16,29.943582278481003
2010-03-17,29.87193710691824
2010-03-18,33.06855974842768
2010-03-19,30.221102564102587
2010-03-20,30.85426875
2010-03-21,30.66841666666665
2010-03-22,31.769012578616337
2010-03-23,30.057689873417715
2010-03-24,33.29566666666665
2010-03-25,34.28316233766231
2010-03-26,31.015912499999978
2010-03-27,33.54376100628932
2010-03-28,35.515273885350325
2010-03-29,32.260927152317876
2010-03-30,35.95189743589742
2010-03-31,37.05225308641976
2010-04-01,33.4753827160494
2010-04-02,31.45007975460124
2010-04-03,32.595256097560984
2010-04-04,35.34414556962025
2010-04-05,35.285239263803675
2010-04-06,32.348371951219484
2010-04-07,31.973950310559005
2010-04-08,33.050713414634146
2010-04-09,35.1244268292683
2010-04-10,41.4589254658385
2010-04-11,42.49646153846154
2010-04-12,36.556335714285716
2010-04-13,31.373436363636365
2010-04-14,30.889563636363626
2010-04-15,33.58191715976332
2010-04-16,34.265682926829285
2010-04-17,34.208218934911216
2010-04-18,38.03864670658685
2010-04-19,35.84449090909092
2010-04-20,35.07271515151514
2010-04-21,33.66148611111111
2010-04-22,25.2234125
2010-04-23,29.38147904191618
2010-04-24,33.557128048780484
2010-04-25,37.37894642857143
2010-04-26,38.185921686746994
2010-04-27,33.76323899371069
2010-04-28,36.553184523809506
2010-04-29,35.91927544910181
2010-04-30,31.363127167630072
2010-05-01,34.838759999999965
2010-05-02,37.06513772455088
2010-05-03,33.65378106508878
2010-05-04,35.090706896551715
2010-05-05,39.57794705882353
2010-05-06,37.29086826347304
2010-05-07,37.43797633136096
2010-05-08,38.63348823529411
2010-05-09,35.40212883435586
2010-05-10,34.599070175438605
2010-05-11,32.23673939393941
2010-05-12,31.56620348837209
2010-05-13,34.47948837209303
2010-05-14,37.2394561403509
2010-05-15,41.902211764705896
2010-05-16,43.62667469879518
2010-05-17,34.22715217391304
2010-05-18,29.2812625
2010-05-19,32.217369942196534
2010-05-20,35.73941040462429
2010-05-21,37.09358579881656
2010-05-22,36.93408333333335
2010-05-23,34.667557575757584
2010-05-24,33.406738372093024
2010-05-25,32.404497142857146
2010-05-26,35.15694186046509
2010-05-27,32.069693251533764
2010-05-28,33.146313953488395
2010-05-29,36.31877456647401
2010-05-30,39.570666666666654
2010-05-31,35.43135365853657
2010-06-01,32.56905917159762
2010-06-02,28.863432748538017
2010-06-03,30.30728977272726
2010-06-04,28.600666666666665
2010-06-05,31.458057142857147
2010-06-06,31.20022543352601
2010-06-07,33.026270114942534
2010-06-08,35.63928977272725
2010-06-09,33.909505882352924
2010-06-10,35.96707647058824
2010-06-11,33.32854285714284
2010-06-12,35.6802848837209
2010-06-13,37.59592655367232
2010-06-14,38.20744886363632
2010-06-15,36.74847976878612
2010-06-16,33.91032934131737
2010-06-17,38.386632768361615
2010-06-18,37.95485542168675
2010-06-19,35.14581976744184
2010-06-20,36.604391812865465
2010-06-21,35.88530681818183
2010-06-22,39.153386363636365
2010-06-23,40.761696629213475
2010-06-24,36.527464705882345
2010-06-25,34.02621264367816
2010-06-26,33.40885795454546
2010-06-27,38.22906818181822
2010-06-28,37.574426136363634
2010-06-29,34.48210982658961
2010-06-30,36.47370689655172
2010-07-01,36.33792737430168
2010-07-02,35.37001136363636
2010-07-03,35.384479999999996
2010-07-04,36.31001694915256
2010-07-05,38.48979888268155
