,Ozone_ppb,Month
0,16.83765306122449,2010-01-01
1,17.494717241379306,2010-01-02
2,16.51526056338028,2010-01-03
3,13.100992805755398,2010-01-04
4,12.5128345323741,2010-01-05
5,9.89640287769784,2010-01-06
6,9.389248275862073,2010-01-07
7,11.110583333333333,2010-01-08
8,10.603682758620694,2010-01-09
9,12.148339869281047,2010-01-10
10,12.764393333333338,2010-01-11
11,17.847278911564626,2010-01-12
12,23.200585526315788,2010-01-13
13,19.036304635761603,2010-01-14
14,13.482000000000005,2010-01-15
15,17.069921568627446,2010-01-16
16,24.664020134228192,2010-01-17
17,28.533857142857137,2010-01-18
18,27.827250000000006,2010-01-19
19,30.911121621621607,2010-01-20
20,31.40959322033898,2010-01-21
21,25.061357142857148,2010-01-22
22,21.561000000000003,2010-01-23
23,18.89297402597403,2010-01-24
24,17.843246666666666,2010-01-25
25,14.746239669421485,2010-01-26
26,16.782222929936303,2010-01-27
27,16.366096774193547,2010-01-28
28,16.085183006535953,2010-01-29
29,20.892402597402594,2010-01-30
30,19.47633333333334,2010-01-31
31,17.281222929936302,2010-02-01
32,18.03293103448276,2010-02-02
33,19.691217948717956,2010-02-03
34,24.96397435897436,2010-02-04
35,24.485232758620683,2010-02-05
36,27.099582781456967,2010-02-06
37,23.560883211678824,2010-02-07
38,19.798182389937104,2010-02-08
39,22.435948717948726,2010-02-09
40,18.525155844155844,2010-02-10
41,18.780820512820515,2010-02-11
42,19.562603896103894,2010-02-12
43,20.239356687898077,2010-02-13
44,21.324329032258067,2010-02-14
45,21.302683870967744,2010-02-15
46,19.282453333333333,2010-02-16
47,19.699340000000007,2010-02-17
48,26.11633548387097,2010-02-18
49,27.60529629629629,2010-02-19
50,28.113228758169942,2010-02-20
51,28.846144927536233,2010-02-21
52,25.17946376811593,2010-02-22
53,21.90545394736842,2010-02-23
54,21.832181034482762,2010-02-24
55,19.203915032679745,2010-02-25
56,24.495493670886077,2010-02-26
57,28.02545,2010-02-27
58,23.07283333333333,2010-02-28
59,22.615850000000005,2010-03-01
60,27.06713749999999,2010-03-02
61,31.390025477707013,2010-03-03
62,28.47572727272728,2010-03-04
63,26.656797468354426,2010-03-05
64,25.36475912408759,2010-03-06
65,29.289955128205122,2010-03-07
66,32.36034210526318,2010-03-08
67,30.53858503401361,2010-03-09
68,28.993892405063306,2010-03-10
69,26.02840625,2010-03-11
70,26.936603896103907,2010-03-12
71,29.98340764331209,2010-03-13
72,28.29801324503311,2010-03-14
73,27.47224528301887,2010-03-15
74,29.943582278481003,2010-03-16
75,29.87193710691824,2010-03-17
76,33.06855974842768,2010-03-18
77,30.221102564102587,2010-03-19
78,30.85426875,2010-03-20
79,30.66841666666665,2010-03-21
80,31.769012578616337,2010-03-22
81,30.057689873417715,2010-03-23
82,33.29566666666665,2010-03-24
83,34.28316233766231,2010-03-25
84,31.015912499999978,2010-03-26
85,33.54376100628932,2010-03-27
86,35.515273885350325,2010-03-28
87,32.260927152317876,2010-03-29
88,35.95189743589742,2010-03-30
89,37.05225308641976,2010-03-31
90,33.4753827160494,2010-04-01
91,31.45007975460124,2010-04-02
92,32.595256097560984,2010-04-03
93,35.34414556962025,2010-04-04
94,35.285239263803675,2010-04-05
95,32.348371951219484,2010-04-06
96,31.973950310559005,2010-04-07
97,33.050713414634146,2010-04-08
98,35.1244268292683,2010-04-09
99,41.4589254658385,2010-04-10
100,42.49646153846154,2010-04-11
101,36.556335714285716,2010-04-12
102,31.373436363636365,2010-04-13
103,30.889563636363626,2010-04-14
104,33.58191715976332,2010-04-15
105,34.265682926829285,2010-04-16
106,34.208218934911216,2010-04-17
107,38.038646706586846,2010-04-18
108,35.84449090909092,2010-04-19
109,35.07271515151514,2010-04-20
110,33.66148611111111,2010-04-21
111,25.2234125,2010-04-22
112,29.38147904191618,2010-04-23
113,33.557128048780484,2010-04-24
114,37.37894642857143,2010-04-25
115,38.185921686746994,2010-04-26
116,33.76323899371069,2010-04-27
117,36.553184523809506,2010-04-28
118,35.91927544910181,2010-04-29
119,31.363127167630072,2010-04-30
120,34.838759999999965,2010-05-01
121,37.06513772455088,2010-05-02
122,33.65378106508878,2010-05-03
123,35.090706896551715,2010-05-04
124,39.57794705882353,2010-05-05
125,37.29086826347304,2010-05-06
126,37.43797633136096,2010-05-07
127,38.63348823529411,2010-05-08
128,35.40212883435586,2010-05-09
129,34.599070175438605,2010-05-10
130,32.23673939393941,2010-05-11
131,31.56620348837209,2010-05-12
132,34.47948837209303,2010-05-13
133,37.2394561403509,2010-05-14
134,41.902211764705896,2010-05-15
135,43.62667469879518,2010-05-16
136,34.22715217391304,2010-05-17
137,29.2812625,2010-05-18
138,32.217369942196534,2010-05-19
139,35.73941040462429,2010-05-20
140,37.09358579881656,2010-05-21
141,36.93408333333335,2010-05-22
142,34.667557575757584,2010-05-23
143,33.406738372093024,2010-05-24
144,32.404497142857146,2010-05-25
145,35.15694186046509,2010-05-26
146,32.069693251533764,2010-05-27
147,33.146313953488395,2010-05-28
148,36.31877456647401,2010-05-29
149,39.570666666666654,2010-05-30
150,35.43135365853657,2010-05-31
151,32.56905917159762,2010-06-01
152,28.863432748538017,2010-06-02
153,30.30728977272726,2010-06-03
154,28.600666666666665,2010-06-04
155,31.458057142857147,2010-06-05
156,31.20022543352601,2010-06-06
157,33.026270114942534,2010-06-07
158,35.63928977272725,2010-06-08
159,33.909505882352924,2010-06-09
160,35.96707647058824,2010-06-10
161,33.32854285714284,2010-06-11
162,35.6802848837209,2010-06-12
163,37.59592655367232,2010-06-13
164,38.20744886363632,2010-06-14
165,36.74847976878612,2010-06-15
166,33.91032934131737,2010-06-16
